"Name","distinguishedName","Version","ModifiedDate","SDDL"
"rpc-Profile","CN=rpc-Profile,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Cross-Ref","CN=Cross-Ref,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"rpc-Group","CN=rpc-Group,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"CRL-Distribution-Point","CN=CRL-Distribution-Point,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"rpc-Entry","CN=rpc-Entry,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Country","CN=Country,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Rpc-Container","CN=Rpc-Container,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Control-Access-Right","CN=Control-Access-Right,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"room","CN=room,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLOLORCWOWDSDDTDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Container","CN=Container,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"RID-Set","CN=RID-Set,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Person","CN=Person,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"RID-Manager","CN=RID-Manager,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)S:(AU;SA;CRWP;;;WD)  "
"Contact","CN=Contact,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Connection-Point","CN=Connection-Point,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"rFC822LocalPart","CN=rFC822LocalPart,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLOLORCWOWDSDDTDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Configuration","CN=Configuration,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Residential-Person","CN=Residential-Person,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Computer","CN=Computer,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;AO)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPCRLCLORCSDDT;;;CO)(OA;;WP;4c164200-20c0-11d0-a768-00aa006e0529;;CO)(A;;RPLCLORC;;;AU)(OA;;CR;ab721a53-1e2f-11d0-9819-00aa0040529b;;WD)(A;;CCDC;;;PS)(OA;;CCDC;bf967aa8-0de6-11d0-a285-00aa003049e2;;PO)(OA;;RPWP;bf967a7f-0de6-11d0-a285-00aa003049e2;;CA)(OA;;SW;f3a64788-5306-11d1-a9c5-0000f80367c1;;PS)(OA;;RPWP;77B5B886-944A-11d1-AEBD-0000F80367C1;;PS)(OA;;SW;72e39547-7b18-11d1-adef-00c04fd8d5cd;;PS)(OA;;SW;72e39547-7b18-11d1-adef-00c04fd8d5cd;;CO)(OA;;SW;f3a64788-5306-11d1-a9c5-0000f80367c1;;CO)(OA;;WP;3e0abfd0-126a-11d0-a060-00aa006c33ed;bf967a86-0de6-11d0-a285-00aa003049e2;CO)(OA;;WP;5f202010-79a5-11d0-9020-00c04fc2d4cf;bf967a86-0de6-11d0-a285-00aa003049e2;CO)(OA;;WP;bf967950-0de6-11d0-a285-00aa003049e2;bf967a86-0de6-11d0-a285-00aa003049e2;CO)(OA;;WP;bf967953-0de6-11d0-a285-00aa003049e2;bf967a86-0de6-11d0-a285-00aa003049e2;CO)(OA;;RP;46a9b11d-60ae-405a-b7e8-ff8a58d456d2;;S-1-5-32-560)  "
"Remote-Storage-Service-Point","CN=Remote-Storage-Service-Point,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPLCLORC;;;AU)(A;;RPWPCRLCLOCCDCRCWDWOSDDTSW;;;DA)(A;;RPWPCRLCLOCCDCRCWDWOSDDTSW;;;CO)(A;;RPWPCRLCLOCCDCRCWDWOSDDTSW;;;SY)  "
"Com-Connection-Point","CN=Com-Connection-Point,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Remote-Mail-Recipient","CN=Remote-Mail-Recipient,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)(OA;;CR;ab721a55-1e2f-11d0-9819-00aa0040529b;;AU)  "
"Class-Store","CN=Class-Store,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Query-Policy","CN=Query-Policy,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"Print-Queue","CN=Print-Queue,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;PO)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;CO)(A;;RPLCLORC;;;AU)  "
"Class-Registration","CN=Class-Registration,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:31","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
"ms-PKI-Private-Key-Recovery-Agent","CN=ms-PKI-Private-Key-Recovery-Agent,CN=Schema,CN=Configuration,DC=contoso,DC=com","1","2015-05-23 23:38:32","D:(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;DA)(A;;RPWPCRCCDCLCLORCWOWDSDDTSW;;;SY)(A;;RPLCLORC;;;AU)  "
