"OU","ObjectClass","IdentityReference","PrincipalName","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags","SDDate","InvocationID","OrgUSN","LegendText"
"CN=9fea28ff-387f-4d57-866d-3893c50f373f,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5663",""
"CN=a662b036-dbbe-4166-b4ba-21abea17f9cc,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5687",""
"CN=a662b036-dbbe-4166-b4ba-21abea17f9cc,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-1-0","Everyone","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5687",""
"CN=a662b036-dbbe-4166-b4ba-21abea17f9cc,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5687",""
"CN=a662b036-dbbe-4166-b4ba-21abea17f9cc,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5687",""
"CN=a96e2ed5-7a7c-4d5c-9d5d-965eca0051da,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5674",""
"CN=a96e2ed5-7a7c-4d5c-9d5d-965eca0051da,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-1-0","Everyone","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5674",""
"CN=a96e2ed5-7a7c-4d5c-9d5d-965eca0051da,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5674",""
"CN=a96e2ed5-7a7c-4d5c-9d5d-965eca0051da,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5674",""
"CN=abd97102-88dd-4013-a009-0e2c2f967ff6,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5659",""
"CN=abd97102-88dd-4013-a009-0e2c2f967ff6,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-1-0","Everyone","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5659",""
"CN=abd97102-88dd-4013-a009-0e2c2f967ff6,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5659",""
"CN=abd97102-88dd-4013-a009-0e2c2f967ff6,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5659",""
"CN=ad3c7909-b154-4c16-8bf7-2c3a7870bb3d,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5621",""
"CN=ad3c7909-b154-4c16-8bf7-2c3a7870bb3d,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-1-0","Everyone","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5621",""
"CN=ad3c7909-b154-4c16-8bf7-2c3a7870bb3d,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5621",""
"CN=ad3c7909-b154-4c16-8bf7-2c3a7870bb3d,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5621",""
"CN=b2b7fb45-f50d-41bc-a73b-8f580f3b636a,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5625",""
"CN=b2b7fb45-f50d-41bc-a73b-8f580f3b636a,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-1-0","Everyone","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5625",""
"CN=b2b7fb45-f50d-41bc-a73b-8f580f3b636a,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5625",""
"CN=b2b7fb45-f50d-41bc-a73b-8f580f3b636a,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5625",""
"CN=bd3413c0-9559-469b-9f3d-51d7faabd81a,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5668",""
"CN=bd3413c0-9559-469b-9f3d-51d7faabd81a,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-1-0","Everyone","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5668",""
"CN=bd3413c0-9559-469b-9f3d-51d7faabd81a,CN=Operations,CN=ForestUpdates,CN=Configuration,<ROOT-DN>","container","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","2015-06-23 06:54:13","076738b3-e26e-4ba3-9208-3a92eb72a3da","5668",""
